[INFO  ] [18:06:38.283761] <                    > fastchess --- fastchess alpha 1.5.0 compiled for macos-latest 20250921-5c6d1bc (CI) 
[INFO  ] [18:06:38.284142] <                    > fastchess --- Setting seed to: 5938664303847077188
[INFO  ] [18:06:38.359943] <                    > fastchess --- Indexing opening suite...

[INFO  ] [18:06:38.361085] <                    > fastchess --- Starting tournament...
[Engine] [18:06:38.363649] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.363652] <         0x16b90f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.363652] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.363675] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot <--- uci
[Engine] [18:06:38.363767] <         0x16bce3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot <--- uci
[Engine] [18:06:38.363829] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot <--- uci
[Engine] [18:06:38.363830] <         0x16b99b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.363859] <         0x16ba27000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot <--- uci
[Engine] [18:06:38.369762] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
[Engine] [18:06:38.369857] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id author Fascix
[Engine] [18:06:38.369869] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name Hash type spin default 16 min 1 max 1024
[Engine] [18:06:38.369878] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name Ponder type check default false
[Engine] [18:06:38.369887] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name OwnBook type check default false
[Engine] [18:06:38.369895] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name UCI_AnalyseMode type check default false
[Engine] [18:06:38.369789] <         0x16b99b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
[Engine] [18:06:38.369946] <         0x16b99b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id author Fascix
[Engine] [18:06:38.369958] <         0x16b99b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name Hash type spin default 16 min 1 max 1024
[Engine] [18:06:38.369902] <         0x16bb3f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> uciok
[Engine] [18:06:38.369777] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
