[INFO  ] [18:12:22.096893] <                    > fastchess --- fastchess alpha 1.5.0 compiled for macos-latest 20250921-5c6d1bc (CI) 
[INFO  ] [18:12:22.097230] <                    > fastchess --- Setting seed to: 18092083556781532155
[INFO  ] [18:12:22.172805] <                    > fastchess --- Indexing opening suite...

[INFO  ] [18:12:22.174010] <                    > fastchess --- Starting tournament...
[Engine] [18:12:22.174532] <         0x16d92b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- uci
[Engine] [18:12:22.174562] <         0x16dacf000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- uci
[Engine] [18:12:22.174582] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.174586] <         0x16da43000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- uci
[Engine] [18:12:22.174587] <         0x16d9b7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.174594] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.174663] <         0x16d813000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v8/stash-bot <--- uci
[Engine] [18:12:22.174683] <         0x16dbe7000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:12:22.178657] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
[Engine] [18:12:22.178692] <         0x16db5b000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id author Fascix
[Engine] [18:12:22.178731] <         0x16d89f000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
